Kanji,Meaning,Radicals
毅,"resolute","立 (stand) + 𧰨 + 殳 (weapon)"
锦,"brocade","钅 + 白 (white) + 巾 (turban)"
欠,"owe","欠 (lack)"
哩,"mile","口 (mouth) + 里 (village)"
函,"correspondence","函 (correspondence)"
茫,"vast","艹 (grass) + 氵 (water) + 亠 (lid) + 乚 (second)"
昂,"rise","日 (sun) + 匚 (open box) + 卩 (seal)"
薛,"kind of marsh grass","艹 (grass)"
皱,"wrinkles","彐 (pigs head) + 皮 (skin)"
夸,"extravagant","大 (big) + 一 (one) + 丂"
豫,"relaxed","龴 + 一 (one) + 亅 (hook) + 象 (elephant)"
胃,"stomach","田 (field) + 月 (moon)"
舌,"tongue","舌 (tongue)"
剥,"peel","彐 (pigs head) + 氺 + 刂 (knife)"
傲,"proud","亻 (man) + 土 (earth) + 方 (square) + 攵 (rap)"
拾,"pick up","扌 (hand) + 人 (man) + 一 (one) + 口 (mouth)"
窝,"nest","穴 (cave) + 口 (mouth) + 冂 (down box) + 人 (man)"
睁,"open eyes","目 (eye) + 𠂊 + 肀"
携,"lead by hand","扌 (hand) + 隹 (short tailed bird) + 乃 (then)"
陵,"hill","阝 (mound) + 土 (earth) + 儿 (legs) + 夂 (go)"
哼,"hum","口 (mouth) + 亠 (lid) + 了 (to finish)"
棉,"cotton","木 (tree) + 白 (white) + 巾 (turban)"
晴,"clear weather","日 (sun) + 青 (blue)"
铃,"bell","钅 + 人 (man) + 一 (one) + 龴"
填,"fill in","土 (earth) + 十 (ten) + 貝 (shell) + 一 (one)"
饲,"raise animals","饣 (eat) + 𠃌 + 一 (one) + 口 (mouth)"
渴,"thirsty","氵 (water) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
吻,"kiss","口 (mouth) + 勿 (must not)"
扮,"dress up","扌 (hand) + 八 (eight) + 刀 (knife)"
逆,"disobey","辶 (walk) + 䒑 + 屮 (sprout)"
脆,"crisp","月 (moon) + 厂 (cliff) + 㔾"
喘,"pant","口 (mouth) + 山 (mountain) + 而 (and)"
罩,"basket for catching fish","罒 (net) + 卜 (divination) + 日 (sun) + 十 (ten)"
卜,"fortune telling","卜 (divination)"
炉,"fireplace","火 (fire) + 一 (one) + 尸 (corpse)"
柴,"firewood","止 (stop) + 匕 (spoon) + 木 (tree)"
愉,"pleasant","忄 (heart) + 人 (man) + 一 (one) + 月 (moon) + 刂 (knife)"
绳,"rope","纟 (silk) + 黾 (frog)"
胎,"unborn child","月 (moon) + 厶 (private) + 口 (mouth)"
蓄,"store","艹 (grass) + 玄 (profound) + 田 (field)"
眠,"close eyes","目 (eye) + 民 (people)"
竭,"put forth great effort","立 (stand) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
喂,"interjection to call attention","口 (mouth) + 田 (field) + 氏 (clan)"
傻,"foolish","亻 (man) + 頁 (leaf) + 夂 (go)"
慕,"long for","艹 (grass) + 日 (sun) + 大 (big) + 心 (heart)"
浑,"muddy","氵 (water) + 冖 (over) + 车 (cart)"
奸,"crafty","女 (woman) + 干 (dry)"
扇,"fan","一 (one) + 尸 (corpse) + 羽 (feather)"
柜,"cabinet","木 (tree) + 巨 (large)"
悦,"pleased","忄 (heart) + 八 (eight) + 口 (mouth) + 儿 (legs)"
拦,"obstruct","扌 (hand) + 丷 (eight) + 二 (two) + 一 (one)"
诞,"bear children","讠 (speech) + 廴 (long stride) + 一 (one) + 止 (stop)"
饱,"eat heartily","饣 (eat) + 勹 (wrap) + 巳"
乾,"dry","車 (cart) + 丿 (slash) + 一 (one) + 乙 (second)"
泡,"bubbles","氵 (water) + 勹 (wrap) + 巳"
贼,"thief","贝 (shell) + 丿 (slash) + 一 (one) + 戈 (halberd)"
亭,"pavilion","亠 (lid) + 口 (mouth) + 一 (one) + 亅 (hook)"
夕,"evening","夕 (evening)"
爹,"father","父 (father) + 夕 (evening)"
酬,"toast","酉 (alcohol) + 州 (administrative division)"
儒,"Confucian scholar","亻 (man) + 雨 (rain) + 而 (and)"
姻,"relatives by marriage","女 (woman) + 囗 (enclosure) + 大 (big)"
卵,"egg","𠂎 + 丶 (dot) + 卩 (seal)"
氛,"gas","气 (breath) + 八 (eight) + 刀 (knife)"
泄,"leak","氵 (water) + 世 (generation)"
杆,"pole","木 (tree) + 干 (dry)"
挨,"near","扌 (hand) + 厶 (private) + 矢 (arrow)"
僧,"Buddhist priest","亻 (man) + 八 (eight) + 田 (field) + 曰 (say)"
蜜,"honey","宀 (roof) + 心 (heart) + 丿 (slash) + 虫 (insect)"
吟,"sing","口 (mouth) + 人 (man) + 一 (one)"
猩,"species of orangutan","犭 (dog) + 日 (sun) + 生 (life)"
遂,"comply with","辶 (walk) + 八 (eight) + 豕 (pig)"
狭,"narrow","犭 (dog) + 一 (one) + 大 (big) + 丷 (eight)"
肖,"look like","小 (small) + 月 (moon)"
甜,"sweet","舌 (tongue) + 甘 (sweet)"
霞,"rosy clouds","雨 (rain) + 叚"
驳,"varicolored","马 (horse) + 爻 (cross)"
裕,"abundant","衤 (clothes) + 谷 (valley)"
顽,"obstinate","一 (one) + 儿 (legs) + 页 (leaf)"
於,"in","方 (square) + 人 (man) + 冫 (ice)"
摘,"pluck","扌 (hand) + 亠 (lid) + 八 (eight) + 冂 (down box) + 十 (ten) + 口 (mouth)"
矮,"short","矢 (arrow) + 禾 (grain) + 女 (woman)"
秒,"beard of grain or corn","禾 (grain) + 小 (small) + 丿 (slash)"
卿,"noble","𠂎 + 艮 (stopping) + 卩 (seal)"
畜,"livestock","玄 (profound) + 田 (field)"
咽,"throat","口 (mouth) + 囗 (enclosure) + 大 (big)"
披,"wear","扌 (hand) + 皮 (skin)"
辅,"cheek bone","车 (cart) + 甫 (begin)"
勾,"hook","勹 (wrap) + 厶 (private)"
盆,"basin","八 (eight) + 刀 (knife) + 皿 (dish)"
疆,"boundary","弓 (bow) + 土 (earth) + 二 (two) + 一 (one) + 田 (field)"
赌,"bet","贝 (shell) + 土 (earth) + 丿 (slash) + 日 (sun)"
塑,"model in clay","䒑 + 屮 (sprout) + 月 (moon) + 土 (earth)"
畏,"fear","田 (field) + 氏 (clan)"
吵,"argue","口 (mouth) + 小 (small) + 丿 (slash)"
囊,"bag","囊 (bag)"
嗯,"final particle","口 (mouth) + 囗 (enclosure) + 大 (big) + 心 (heart)"
泊,"anchor vessel","氵 (water) + 白 (white)"
肺,"lungs","月 (moon) + 巾 (turban) + 一 (one)"
骤,"procedure","马 (horse) + 耳 (ear) + 又 (again) + 乑"
缠,"wrap","纟 (silk) + 广 (dotted cliff) + 里 (village)"
冈,"ridge or crest of hill","冂 (down box) + 乂"
羞,"disgrace","羊 (sheep) + 丑 (clown)"
瞪,"stare at","目 (eye) + 癶 (dotted tent) + 豆 (bean)"
吊,"condole","口 (mouth) + 巾 (turban)"
贾,"surname","覀 (west) + 贝 (shell)"
漏,"leak","氵 (water) + 尸 (corpse) + 雨 (rain)"
斑,"mottled","王 (king) + 文 (script)"
涛,"large waves","氵 (water) + 丰 (abundant) + 寸 (inch)"
悠,"long","亻 (man) + 丨 (line) + 攵 (rap) + 心 (heart)"
鹿,"deer","鹿 (deer)"
俘,"prisoner of war","亻 (man) + 爫 (claw) + 子 (child)"
锡,"tin","钅 + 日 (sun) + 勿 (must not)"
卑,"humble","卑 (humble)"
葬,"bury","艹 (grass) + 歹 (death) + 匕 (spoon) + 廾 (two hands)"
铭,"inscribe","钅 + 夕 (evening) + 口 (mouth)"
滩,"bank","氵 (water) + 又 (again) + 隹 (short tailed bird)"
嫁,"to marry","女 (woman) + 宀 (roof) + 豕 (pig)"
催,"press","亻 (man) + 山 (mountain) + 隹 (short tailed bird)"
璇,"beautiful jade","王 (king) + 方 (square) + 人 (man) + 疋 (bolt of cloth)"
翅,"wings","支 (branch) + 羽 (feather)"
盒,"small box or case","人 (man) + 一 (one) + 口 (mouth) + 皿 (dish)"
蛮,"barbarians","亦 (also) + 虫 (insect)"
矣,"particle of completed action","厶 (private) + 矢 (arrow)"
潘,"surname","氵 (water) + 釆 (distinguish) + 田 (field)"
歧,"fork of road","止 (stop) + 支 (branch)"
赐,"give","贝 (shell) + 日 (sun) + 勿 (must not)"
鲍,"abalone","鱼 (fish) + 勹 (wrap) + 巳"
锅,"cooking-pot","钅 + 口 (mouth) + 冂 (down box) + 人 (man)"
廊,"corridor","广 (dotted cliff) + 丶 (dot) + 艮 (stopping) + 阝 (mound)"
拆,"to break up","扌 (hand) + 斤 (axe) + 丶 (dot)"
灌,"pour","氵 (water) + 艹 (grass) + 口 (mouth) + 隹 (short tailed bird)"
勉,"endeavor","免 (spare) + 力 (power)"
盲,"blind","亠 (lid) + 乚 (second) + 目 (eye)"
宰,"to slaughter","宀 (roof) + 辛 (bitter)"
佐,"assist","亻 (man) + 丿 (slash) + 一 (one) + 工 (work)"
啥,"what?","口 (mouth) + 人 (man) + 一 (one) + 十 (ten)"
胀,"swell","月 (moon) + 长 (long)"
扯,"rip up","扌 (hand) + 止 (stop)"
禧,"happiness","示 (showing) + 十 (ten) + 豆 (bean) + 口 (mouth)"
辽,"distant","辶 (walk) + 了 (to finish)"
抹,"smear","扌 (hand) + 木 (tree) + 一 (one)"
筒,"thick piece of bamboo","竹 (bamboo) + 冂 (down box) + 一 (one) + 口 (mouth)"
棋,"chess","木 (tree) + 其 (his)"
裤,"trousers","衤 (clothes) + 广 (dotted cliff) + 车 (cart)"
唉,"alas","口 (mouth) + 厶 (private) + 矢 (arrow)"
朴,"simple","木 (tree) + 卜 (divination)"
咐,"instruct","口 (mouth) + 亻 (man) + 寸 (inch)"
孕,"be pregnant","乃 (then) + 子 (child)"
誓,"swear","扌 (hand) + 斤 (axe) + 言 (speech)"
喉,"throat","口 (mouth) + 亻 (man) + 矢 (arrow)"
妄,"absurd","亠 (lid) + 乚 (second) + 女 (woman)"
拘,"restrain","扌 (hand) + 勹 (wrap) + 口 (mouth)"
链,"chain","钅 + 辶 (walk) + 车 (cart)"
驰,"go quickly or swiftly","马 (horse) + 乜 + 丨 (line)"
栏,"railing","木 (tree) + 丷 (eight) + 二 (two) + 一 (one)"
逝,"pass away","辶 (walk) + 扌 (hand) + 斤 (axe)"
窃,"secretly","穴 (cave) + 七 (seven) + 刀 (knife)"
艳,"beautiful","丰 (abundant) + 色 (color)"
臭,"smell","自 (self) + 犬 (dog)"
纤,"fine","纟 (silk) + 丿 (slash) + 十 (ten)"
玑,"pearl that is not quite round","王 (king) + 几 (table)"
棵,"numerary adjunct for trees","木 (tree) + 田 (field)"
趁,"take advantage of","走 (run) + 人 (man) + 彡 (bristle)"
匠,"craftsman","匚 (open box) + 斤 (axe)"
盈,"fill","乃 (then) + 又 (again) + 皿 (dish)"
翁,"old man","八 (eight) + 厶 (private) + 羽 (feather)"
愁,"anxiety","禾 (grain) + 火 (fire) + 心 (heart)"
瞬,"wink","目 (eye) + 爫 (claw) + 舛 (oppose)"
婴,"baby","贝 (shell) + 女 (woman)"
孝,"filial piety","土 (earth) + 丿 (slash) + 子 (child)"
颈,"neck","又 (again) + 工 (work) + 页 (leaf)"
倘,"if","亻 (man) + 小 (small) + 冂 (down box) + 囗 (enclosure)"
浙,"Zhejiang province","氵 (water) + 扌 (hand) + 斤 (axe)"
谅,"excuse","讠 (speech) + 亠 (lid) + 口 (mouth) + 小 (small)"
蔽,"cover","艹 (grass) + 攵 (rap)"
畅,"smoothly","曰 (say) + 丨 (line)"
赠,"give present","贝 (shell) + 八 (eight) + 田 (field) + 曰 (say)"
妮,"maid","女 (woman) + 尸 (corpse) + 匕 (spoon)"
莎,"kind of sedge grass","艹 (grass) + 氵 (water) + 小 (small) + 丿 (slash)"
尉,"officer","尸 (corpse) + 示 (showing) + 寸 (inch)"
冻,"freeze","冫 (ice) + 东 (east)"
跪,"kneel","足 (foot) + 厂 (cliff) + 㔾"
闯,"rush in","门 (gate) + 马 (horse)"
葡,"grapes","艹 (grass) + 勹 (wrap) + 甫 (begin)"
後,"behind","彳 (step) + 幺 (short thread) + 夂 (go)"
厨,"kitchen","厂 (cliff) + 豆 (bean) + 寸 (inch)"
鸭,"duck","曰 (say) + 丨 (line) + 鸟 (bird)"
颠,"top","十 (ten) + 貝 (shell) + 一 (one) + 页 (leaf)"
遮,"cover","辶 (walk) + 广 (dotted cliff) + 廿 + 火 (fire)"
谊,"friendship","讠 (speech) + 宀 (roof) + 且 (moreover)"
圳,"furrow in field","土 (earth) + 川 (river)"
吁,"interjection Alas!","口 (mouth) + 二 (two) + 亅 (hook)"
仑,"logical reasons","人 (man) + 匕 (spoon)"
辟,"law","辛 (bitter)"
瘤,"tumor","疒 (sickness) + 𠂎 + 卩 (seal) + 田 (field)"
嫂,"sister-in-law","女 (woman) + 臼 (mortar) + 丨 (line) + 又 (again)"
陀,"steep bank","阝 (mound) + 宀 (roof) + 匕 (spoon)"
框,"frame","木 (tree) + 匚 (open box) + 王 (king)"
谭,"surname","讠 (speech) + 襾 (west) + 日 (sun) + 十 (ten)"
亨,"smoothly","亠 (lid) + 口 (mouth) + 了 (to finish)"
钦,"respect","钅 + 欠 (lack)"
庸,"usual","广 (dotted cliff) + 肀 + 用 (use)"
歉,"deficient","兼 (unite) + 欠 (lack)"
芝,"sesame","艹 (grass) + 之 (marks preceding phrase as modifier of following phrase)"
吼,"roar","口 (mouth) + 子 (child) + 乚 (second)"
甫,"begin","甫 (begin)"
衫,"shirt","衤 (clothes) + 彡 (bristle)"
摊,"spread out","扌 (hand) + 又 (again) + 隹 (short tailed bird)"
宴,"to entertain","宀 (roof) + 日 (sun) + 女 (woman)"
嘱,"order","口 (mouth) + 尸 (corpse) + 丿 (slash) + 虫 (insect)"
衷,"heart","衣 (clothes) + 口 (mouth) + 丨 (line)"
娇,"seductive and loveable","女 (woman) + 丿 (slash) + 大 (big) + 儿 (legs)"
陕,"mountain pass","阝 (mound) + 一 (one) + 大 (big) + 丷 (eight)"
矩,"carpenters square","矢 (arrow) + 巨 (large)"
浦,"bank of river","氵 (water) + 甫 (begin)"
讶,"express surprise","讠 (speech) + 牙 (fang)"
耸,"urge on","人 (man) + 耳 (ear)"
裸,"bare","衤 (clothes) + 田 (field) + 木 (tree)"
碧,"jade","王 (king) + 白 (white) + 石 (stone)"
摧,"destroy","扌 (hand) + 山 (mountain) + 隹 (short tailed bird)"
薪,"fuel","艹 (grass) + 立 (stand) + 朩 + 斤 (axe)"
淋,"drip","氵 (water) + 木 (tree)"
耻,"shame","耳 (ear) + 止 (stop)"
胶,"glue","月 (moon) + 亠 (lid) + 父 (father)"
屠,"butcher","尸 (corpse) + 土 (earth) + 丿 (slash) + 日 (sun)"
鹅,"goose","丿 (slash) + 十 (ten) + 戈 (halberd) + 鸟 (bird)"
饥,"hunger","饣 (eat) + 几 (table)"
盼,"look","目 (eye) + 八 (eight) + 刀 (knife)"
脖,"neck","月 (moon) + 十 (ten) + 子 (child)"
虹,"rainbow","虫 (insect) + 工 (work)"
翠,"color green","羽 (feather) + 亠 (lid) + 人 (man) + 十 (ten)"
崩,"rupture","山 (mountain) + 月 (moon)"
账,"accounts","贝 (shell) + 长 (long)"
萍,"duckweed","艹 (grass) + 氵 (water) + 干 (dry) + 丷 (eight)"
逢,"come upon","辶 (walk) + 夂 (go) + 丰 (abundant)"
赚,"make money","贝 (shell) + 兼 (unite)"
撑,"prop up","扌 (hand) + 小 (small) + 冂 (down box) + 囗 (enclosure) + 手 (hand)"
翔,"soar","羊 (sheep) + 羽 (feather)"
倡,"guide","亻 (man) + 日 (sun) + 曰 (say)"
绵,"cotton wad","纟 (silk) + 白 (white) + 巾 (turban)"
猴,"monkey","犭 (dog) + 亻 (man) + 矢 (arrow)"
枯,"dried out","木 (tree) + 十 (ten) + 口 (mouth)"
巫,"wizard","工 (work) + 人 (man)"
昭,"bright","日 (sun) + 刀 (knife) + 口 (mouth)"
怔,"a disease resembling neurosis","忄 (heart) + 一 (one) + 止 (stop)"
渊,"surge up","氵 (water) + 儿 (legs) + 米 (rice)"
凑,"piece together","冫 (ice) + 𡗗 + 一 (one) + 大 (big)"
溪,"mountain stream","氵 (water) + 爪 (claw) + 幺 (short thread) + 大 (big)"
蠢,"wriggle","𡗗 + 日 (sun) + 虫 (insect)"
禅,"meditation","礻 (showing) + 小 (small) + 田 (field) + 十 (ten)"
阐,"explain","门 (gate) + 八 (eight) + 田 (field) + 十 (ten)"
旺,"prosper","日 (sun) + 王 (king)"
寓,"residence","宀 (roof) + 田 (field) + 禸 (track)"
藤,"rattan","艹 (grass) + 月 (moon)"
匪,"bandits","匚 (open box) + 非 (wrong)"
伞,"umbrella","人 (man) + 丷 (eight) + 十 (ten)"
碑,"stone tablet","石 (stone) + 卑 (humble)"
挪,"move","扌 (hand) + 冂 (down box) + 二 (two) + 阝 (mound)"
琼,"jade","王 (king) + 亠 (lid) + 口 (mouth) + 小 (small)"
脂,"fat","月 (moon) + 匕 (spoon) + 日 (sun)"
谎,"lie","讠 (speech) + 艹 (grass) + 亠 (lid) + 乚 (second) + 川 (river)"
慨,"sigh","忄 (heart) + 艮 (stopping) + 旡"
菩,"herb","艹 (grass) + 立 (stand) + 口 (mouth)"
萄,"grapes","艹 (grass) + 勹 (wrap) + 缶 (jar)"
狮,"lion","犭 (dog) + 刂 (knife) + 一 (one) + 巾 (turban)"
掘,"dig","扌 (hand) + 尸 (corpse) + 屮 (sprout) + 凵 (open box)"
抄,"copy","扌 (hand) + 小 (small) + 丿 (slash)"
岭,"mountain ridge","山 (mountain) + 人 (man) + 一 (one) + 龴"
晕,"halo in sky","日 (sun) + 车 (cart)"
逮,"seize","辶 (walk) + 隶 (slave)"
砍,"hack","石 (stone) + 欠 (lack)"
掏,"take out","扌 (hand) + 勹 (wrap) + 缶 (jar)"
狄,"tribe from northern china","犭 (dog) + 火 (fire)"
晰,"clear","日 (sun) + 木 (tree) + 斤 (axe)"
罕,"rare","干 (dry)"
挽,"pull","扌 (hand) + 免 (spare)"
脾,"spleen","月 (moon) + 卑 (humble)"
舟,"boat","舟 (boat)"
痴,"foolish","疒 (sickness) + 矢 (arrow) + 口 (mouth)"
蔡,"surname","艹 (grass) + 月 (moon) + 又 (again) + 示 (showing)"
剪,"scissors","止 (stop) + 月 (moon) + 刂 (knife) + 刀 (knife)"
脊,"spine","兆 (omen) + 月 (moon)"
弓,"bow","弓 (bow)"
懒,"lazy","忄 (heart) + 木 (tree) + 口 (mouth) + 贝 (shell)"
叉,"crotch","又 (again) + 丶 (dot)"
拐,"kidnap","扌 (hand) + 口 (mouth) + 力 (power)"
喃,"keep talking","口 (mouth) + 十 (ten) + 冂 (down box) + 丷 (eight) + 干 (dry)"
僚,"companion","亻 (man) + 大 (big) + 丷 (eight) + 日 (sun) + 小 (small)"
捐,"contribute","扌 (hand) + 口 (mouth) + 月 (moon)"
姊,"elder sister","女 (woman) + 𠂔"
骚,"harass","马 (horse) + 又 (again) + 丶 (dot) + 虫 (insect)"
拓,"expand","扌 (hand) + 石 (stone)"
歪,"slant","不 (no) + 一 (one) + 止 (stop)"
粘,"viscous","米 (rice) + 卜 (divination) + 口 (mouth)"
柄,"handle","木 (tree) + 一 (one) + 冂 (down box) + 人 (man)"
坑,"pit","土 (earth) + 亠 (lid) + 几 (table)"
陌,"foot path between rice fields","阝 (mound) + 一 (one) + 白 (white)"
窄,"narrow","穴 (cave) + 乍 (first time)"
湘,"Hunan province","氵 (water) + 木 (tree) + 目 (eye)"
兆,"omen","兆 (omen)"
崖,"cliff","山 (mountain) + 厂 (cliff) + 土 (earth)"
骄,"spirited horse","马 (horse) + 丿 (slash) + 大 (big) + 儿 (legs)"
刹,"temple","乂 + 朩 + 刂 (knife)"
鞭,"whip","革 (leather) + 亻 (man) + 更 (more)"
芒,"Miscanthus sinensis","艹 (grass) + 亠 (lid) + 乚 (second)"
筋,"muscles","竹 (bamboo) + 月 (moon) + 力 (power)"
聘,"engage","耳 (ear) + 曰 (say) + 丨 (line) + 丂"
钩,"hook","钅 + 勹 (wrap) + 厶 (private)"
棍,"stick","木 (tree) + 日 (sun) + 比 (compare)"
嚷,"shout","口 (mouth) + 衣 (clothes)"
腺,"gland","月 (moon) + 白 (white) + 水 (water)"
弦,"string","弓 (bow) + 玄 (profound)"
焰,"flame","火 (fire) + 臼 (mortar)"
耍,"frolic","而 (and) + 女 (woman)"
俯,"bow down","亻 (man) + 广 (dotted cliff) + 寸 (inch)"
厘,"thousandth part of tael","厂 (cliff) + 里 (village)"
愣,"be in a daze","忄 (heart) + 罒 (net) + 方 (square)"
厦,"big building","厂 (cliff) + 一 (one) + 自 (self) + 夂 (go)"
恳,"sincere","艮 (stopping) + 心 (heart)"
饶,"bountiful","饣 (eat) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
钉,"nail","钅 + 一 (one) + 亅 (hook)"
寡,"widowed","宀 (roof) + 一 (one) + 丿 (slash) + 且 (moreover) + 八 (eight) + 刀 (knife)"
憾,"to regret","忄 (heart) + 丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth) + 心 (heart)"
摔,"fall ground","扌 (hand) + 冫 (ice) + 玄 (profound) + 十 (ten)"
叠,"pile","又 (again) + 且 (moreover)"
惹,"irritate","艹 (grass) + 丿 (slash) + 一 (one) + 口 (mouth) + 心 (heart)"
喻,"metaphor","口 (mouth) + 人 (man) + 一 (one) + 月 (moon) + 刂 (knife)"
谱,"list","讠 (speech) + 丷 (eight) + 亚 (Asia) + 日 (sun)"
愧,"ashamed","忄 (heart) + 鬼 (ghost)"
煌,"bright","火 (fire) + 白 (white) + 王 (king)"
徽,"a badge","彳 (step) + 山 (mountain) + 几 (table) + 攵 (rap) + 糸 (silk)"
溶,"to melt","氵 (water) + 宀 (roof) + 谷 (valley)"
坠,"fall down","阝 (mound) + 人 (man) + 土 (earth)"
煞,"malignant deity","彐 (pigs head) + 攵 (rap) + 灬 (fire)"
巾,"kerchief","巾 (turban)"
滥,"flood","氵 (water) + 皿 (dish)"
洒,"sprinkle","氵 (water) + 一 (one) + 儿 (legs) + 口 (mouth)"
堵,"wall","土 (earth) + 丿 (slash) + 日 (sun)"
瓷,"crockery","冫 (ice) + 欠 (lack) + 瓦 (tile)"
咒,"curse","口 (mouth) + 几 (table)"
姨,"mother/wifes sister","女 (woman) + 大 (big) + 弓 (bow)"
棒,"stick","木 (tree) + 𡗗 + 丨 (line) + 二 (two)"
郡,"administrative division","彐 (pigs head) + 丿 (slash) + 口 (mouth) + 阝 (mound)"
浴,"bathe","氵 (water) + 谷 (valley)"
媚,"charming","女 (woman) + 尸 (corpse) + 丨 (line) + 目 (eye)"
稣,"revive","鱼 (fish) + 禾 (grain)"
淮,"river in Anhui province","氵 (water) + 隹 (short tailed bird)"
哎,"interjection of surprise","口 (mouth) + 艹 (grass) + 乂"
屁,"break wind","尸 (corpse) + 比 (compare)"
漆,"varnish","氵 (water) + 木 (tree) + 入 (enter) + 水 (water)"
淫,"obscene","氵 (water) + 爪 (claw) + 王 (king)"
巢,"nest","巛 (river) + 田 (field) + 木 (tree)"
吩,"order","口 (mouth) + 八 (eight) + 刀 (knife)"
撰,"compose","扌 (hand) + 己 (oneself) + 廿 + 廾 (two hands)"
啸,"roar","口 (mouth) + 肀 + 儿 (legs) + 丷 (eight)"
滞,"block up","氵 (water) + 川 (river) + 一 (one) + 巾 (turban)"
玫,"rose","王 (king) + 攵 (rap)"
硕,"great","石 (stone) + 页 (leaf)"
钓,"fish","钅 + 勹 (wrap) + 丶 (dot)"
蝶,"butterfly","虫 (insect) + 世 (generation) + 木 (tree)"
膝,"knee","月 (moon) + 木 (tree) + 入 (enter) + 水 (water)"
姚,"handsome","女 (woman) + 兆 (omen)"
茂,"thick","艹 (grass) + 丿 (slash) + 戈 (halberd)"
躯,"body","身 (body) + 匚 (open box) + 乂"
吏,"government official","丈 (unit of length equal 3.3 meters) + 口 (mouth)"
猿,"ape","犭 (dog) + 土 (earth) + 口 (mouth) + 氏 (clan)"
寨,"stockade","宀 (roof) + 廿 + 廾 (two hands) + 朩"
恕,"forgive","女 (woman) + 口 (mouth) + 心 (heart)"
渠,"ditch","氵 (water) + 巨 (large) + 木 (tree)"
戚,"relative","丿 (slash) + 戈 (halberd) + 上 (top) + 小 (small)"
辰,"early morning","辰 (morning)"
舶,"large","舟 (boat) + 白 (white)"
颁,"confer","八 (eight) + 刀 (knife) + 页 (leaf)"
惶,"fearful","忄 (heart) + 白 (white) + 王 (king)"
狐,"species of fox","犭 (dog) + 瓜 (melon)"
讽,"recite","讠 (speech) + 风 (wind)"
笨,"foolish","竹 (bamboo) + 木 (tree) + 一 (one)"
袍,"long gown","衤 (clothes) + 勹 (wrap) + 巳"
嘲,"ridicule","口 (mouth) + 卓 (profound) + 月 (moon)"
啡,"morphine","口 (mouth) + 非 (wrong)"
泼,"pour","氵 (water) + 发 (issue)"
衔,"bit","彳 (step) + 钅"
倦,"be tired of","亻 (man) + 龹 + 卩 (seal)"
涵,"soak","氵 (water) + 函 (correspondence)"
雀,"sparrow","小 (small) + 隹 (short tailed bird)"
旬,"ten-day period","勹 (wrap) + 日 (sun)"
僵,"stiff and motionless","亻 (man) + 二 (two) + 一 (one) + 田 (field)"
撕,"rip","扌 (hand) + 其 (his) + 斤 (axe)"
肢,"human limbs","月 (moon) + 支 (branch)"
垄,"grave","龙 (dragon) + 土 (earth)"
夷,"ancient barbarian tribes","大 (big) + 弓 (bow)"
逸,"flee","辶 (walk) + 免 (spare) + 丶 (dot)"
茅,"reeds","艹 (grass) + 矛 (spear)"
侨,"sojourn","亻 (man) + 丿 (slash) + 大 (big) + 儿 (legs)"
舆,"cart","臼 (mortar) + 儿 (legs) + 车 (cart)"
窑,"kiln","穴 (cave) + 缶 (jar)"
涅,"blacken","氵 (water) + 日 (sun) + 土 (earth)"
蒲,"type of rush","艹 (grass) + 氵 (water) + 甫 (begin)"
谦,"humble","讠 (speech) + 兼 (unite)"
杭,"cross stream","木 (tree) + 亠 (lid) + 几 (table)"
噢,"moan","口 (mouth) + 宀 (roof) + 釆 (distinguish) + 大 (big)"
弊,"evil","攵 (rap) + 廾 (two hands)"
勋,"meritorious deed","口 (mouth) + 贝 (shell) + 力 (power)"
刮,"shave","舌 (tongue) + 刂 (knife)"
郊,"suburbs","亠 (lid) + 父 (father) + 阝 (mound)"
凄,"bitter cold","冫 (ice) + 一 (one) + 肀 + 女 (woman)"
捧,"hold up in two hands","扌 (hand) + 𡗗 + 丨 (line) + 二 (two)"
浸,"soak","氵 (water) + 彐 (pigs head) + 又 (again)"
砖,"tile","石 (stone) + 专 (monopolize)"
鼎,"large","鼎 (tripod)"
篮,"basket","竹 (bamboo) + 皿 (dish)"
蒸,"steam","艹 (grass) + 乛 (second) + 水 (water) + 一 (one) + 灬 (fire)"
饼,"rice-cakes","饣 (eat) + 丷 (eight) + 一 (one) + 廾 (two hands)"
亩,"Chinese land measure","亠 (lid) + 田 (field)"
肾,"kidneys","丨 (line) + 又 (again) + 月 (moon)"
陡,"steep","阝 (mound) + 走 (run)"
爪,"claw","爪 (claw)"
兔,"rabbit","免 (spare) + 丶 (dot)"
殷,"many","㐆 + 殳 (weapon)"
贞,"virtuous","卜 (divination) + 贝 (shell)"
荐,"repeat","艹 (grass) + 一 (one) + 亻 (man) + 子 (child)"
哑,"dumb","口 (mouth) + 亚 (Asia)"
炭,"charcoal","山 (mountain) + 厂 (cliff) + 火 (fire)"
坟,"grave","土 (earth) + 文 (script)"
眨,"wink","目 (eye) + 丿 (slash) + 之 (marks preceding phrase as modifier of following phrase)"
搏,"seize","扌 (hand) + 甫 (begin) + 寸 (inch)"
咳,"cough","口 (mouth) + 亠 (lid) + 人 (man)"
拢,"collect","扌 (hand) + 龙 (dragon)"
