Kanji,Meaning,Radicals
株,"Stocks, Shares",Tree + Slide + Jet
載,Publish,Cross + Car + Drunkard
製,Manufacture,Control + Clothes
燃,Burn,Fire + Nature
量,"Quantity, Amount",Dawn + Village
肩,Shoulder,Door + Moon
層,Layer,Flag + Mask
型,"Model, Type",Lantern + Knife + Dirt
届,Deliver,Flag + Reason
担,"Carry, Bear",Fingers + Dawn
視,Look At,Spirit + See
腰,Waist,Moon + Helicopter + Woman
額,"Amount, Framed Picture, Forehead",Guest + Geoduck
供,"Servant, Companion",Leader + Together
違,Different,Treadmill + Korea
腕,Arm,Moon + Roof + Evening + Snake
象,"Elephant, Phenomenon",Elephant
影,Shadow,Sun + Capital + Hair
与,Give,Beggar + Ground
渡,Transit,Tsunami + Hick + Stool
訴,Sue,Say + Axe + Drop
捕,Catch,Fingers + Wedding
肥,Obese,Moon + Bed
絞,Strangle,Thread + Mix
構,"Set Up, Care",Tree + Lifeguard
